
> frontend@0.1.0 dev:frontend
> node scripts/run-frontend-when-ready.js

[frontend] All backend services are ready. Starting Next.js.
▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.32.1:3000
- Environments: .env.local, .env
✓ Ready in 989ms

○ Compiling / ...
 GET /category/6?subcategory=99 200 in 60ms (next.js: 6ms, application-code: 54ms)
 GET /category/6?subcategory=99 200 in 269ms (next.js: 13ms, application-code: 256ms)
 GET /category/6?subcategory=99 200 in 251ms (next.js: 7ms, application-code: 245ms)
 GET /category/6?subcategory=99 200 in 44ms (next.js: 6ms, application-code: 38ms)
 GET /category/6?subcategory=99 200 in 347ms (next.js: 13ms, application-code: 334ms)
 GET /category/6?subcategory=99 200 in 251ms (next.js: 7ms, application-code: 244ms)
 GET /category/6?subcategory=99 200 in 239ms (next.js: 7ms, application-code: 232ms)
 GET /category/6?subcategory=99 200 in 87ms (next.js: 16ms, application-code: 71ms)
 GET /category/6?subcategory=99 200 in 428ms (next.js: 7ms, application-code: 421ms)
 GET /category/6?subcategory=99 200 in 338ms (next.js: 8ms, application-code: 330ms)
 GET /category/6?subcategory=99 200 in 84ms (next.js: 17ms, application-code: 67ms)
 GET /category/6?subcategory=99 200 in 306ms (next.js: 7ms, application-code: 298ms)
 GET /category/6?subcategory=99 200 in 266ms (next.js: 6ms, application-code: 260ms)
 GET /category/6?subcategory=99 200 in 84ms (next.js: 12ms, application-code: 72ms)
 GET /category/6?subcategory=99 200 in 243ms (next.js: 6ms, application-code: 237ms)
 GET /category/6?subcategory=99 200 in 327ms (next.js: 7ms, application-code: 321ms)
 GET /category/6?subcategory=99 200 in 333ms (next.js: 22ms, application-code: 310ms)
 GET /category/6?subcategory=99 200 in 67ms (next.js: 8ms, application-code: 59ms)
 GET /category/6?subcategory=99 200 in 229ms (next.js: 7ms, application-code: 222ms)
 GET /category/6?subcategory=99 200 in 235ms (next.js: 14ms, application-code: 220ms)
 GET /category/6?subcategory=99 200 in 111ms (next.js: 9ms, application-code: 102ms)
 GET /category/6?subcategory=99 200 in 63ms (next.js: 5ms, application-code: 57ms)
 GET /category/6?subcategory=99 200 in 46ms (next.js: 12ms, application-code: 34ms)
 GET /category/6?subcategory=99 200 in 63ms (next.js: 7ms, application-code: 56ms)
 GET /category/6?subcategory=99 200 in 81ms (next.js: 6ms, application-code: 75ms)
 GET /category/6?subcategory=99 200 in 236ms (next.js: 13ms, application-code: 223ms)
 GET /category/6?subcategory=99 200 in 228ms (next.js: 7ms, application-code: 222ms)
 GET /category/6?subcategory=99 200 in 229ms (next.js: 6ms, application-code: 222ms)
 GET /category/6?subcategory=99 200 in 71ms (next.js: 14ms, application-code: 57ms)
 GET /category/6?subcategory=99 200 in 70ms (next.js: 6ms, application-code: 64ms)
 GET /category/6?subcategory=99 200 in 59ms (next.js: 7ms, application-code: 53ms)
 GET /category/6?subcategory=99 200 in 81ms (next.js: 16ms, application-code: 65ms)
 GET /category/6?subcategory=99 200 in 256ms (next.js: 6ms, application-code: 251ms)
 GET /category/6?subcategory=99 200 in 282ms (next.js: 7ms, application-code: 275ms)
 GET /category/6?subcategory=99 200 in 82ms (next.js: 15ms, application-code: 66ms)
 GET /category/6?subcategory=99 200 in 85ms (next.js: 7ms, application-code: 78ms)
 GET /category/6?subcategory=99 200 in 300ms (next.js: 8ms, application-code: 292ms)
 GET /category/6?subcategory=99 200 in 316ms (next.js: 16ms, application-code: 299ms)
 GET /category/6?subcategory=99 200 in 93ms (next.js: 7ms, application-code: 86ms)
 GET /category/6?subcategory=99 200 in 120ms (next.js: 8ms, application-code: 112ms)
 GET /category/6?subcategory=99 200 in 127ms (next.js: 20ms, application-code: 107ms)
 GET /category/6?subcategory=99 200 in 268ms (next.js: 7ms, application-code: 262ms)
 GET /category/6?subcategory=99 200 in 301ms (next.js: 6ms, application-code: 295ms)
 GET /category/6?subcategory=99 200 in 88ms (next.js: 16ms, application-code: 72ms)
 GET /category/6?subcategory=99 200 in 272ms (next.js: 7ms, application-code: 265ms)
 GET /category/6?subcategory=99 200 in 309ms (next.js: 6ms, application-code: 302ms)
 GET /category/6?subcategory=99 200 in 274ms (next.js: 16ms, application-code: 259ms)
 GET /category/6?subcategory=99 200 in 284ms (next.js: 6ms, application-code: 278ms)
 GET /category/6?subcategory=99 200 in 111ms (next.js: 8ms, application-code: 103ms)
 GET /category/6?subcategory=99 200 in 498ms (next.js: 62ms, application-code: 436ms)
 GET /category/6?subcategory=99 200 in 351ms (next.js: 10ms, application-code: 341ms)
 GET /category/6?subcategory=99 200 in 88ms (next.js: 8ms, application-code: 80ms)
 GET /category/6?subcategory=99 200 in 339ms (next.js: 19ms, application-code: 320ms)
 GET /category/6?subcategory=99 200 in 86ms (next.js: 7ms, application-code: 79ms)
 GET /category/6?subcategory=99 200 in 73ms (next.js: 7ms, application-code: 66ms)
 GET /category/6?subcategory=99 200 in 304ms (next.js: 20ms, application-code: 284ms)
 GET /category/6?subcategory=99 200 in 88ms (next.js: 7ms, application-code: 81ms)
 GET /category/6?subcategory=99 200 in 68ms (next.js: 7ms, application-code: 60ms)
 GET /category/6?subcategory=99 200 in 86ms (next.js: 15ms, application-code: 71ms)
 GET /category/6?subcategory=99 200 in 90ms (next.js: 8ms, application-code: 82ms)
